#run N+ N- A_raw dA_raw beamPol dBeam targetPol dTgt
3510 1 0 1 0 86.185 0.163 50.0738 1.62844
3511 1 1 0 0.707107 86.185 0.163 50.0786 1.62865
3512 2 0 1 0 86.185 0.163 50.0891 1.6291
3514 3 0 1 0 86.185 0.163 50.1022 1.62966
3515 1 0 1 0 86.185 0.163 50.1171 1.63031
3517 5 8 -0.230769 0.269864 86.185 0.163 50.1308 1.63092
3518 5 4 0.111111 0.331269 86.185 0.163 50.1538 1.63187
3519 13 4 0.529412 0.205759 86.185 0.163 50.176 1.63285
3520 4 8 -0.333333 0.272166 86.185 0.163 50.202 1.63397
3521 3 4 -0.142857 0.374088 86.185 0.163 50.2156 1.63455
3523 5 4 0.111111 0.331269 86.185 0.163 50.2288 1.63513
3524 8 7 0.0666667 0.257624 86.185 0.163 50.2613 1.6365
3525 4 8 -0.333333 0.272166 86.185 0.163 50.2848 1.63755
3526 1 4 -0.6 0.357771 86.185 0.163 50.3062 1.63848
3552 3 3 0 0.408248 86.185 0.163 52.2459 1.70127
3553 4 4 0 0.353553 86.185 0.163 50.6225 1.65083
3554 1 0 1 0 86.185 0.163 49.5437 1.61799
3555 8 6 0.142857 0.26452 86.185 0.163 49.0877 1.60344
3556 5 7 -0.166667 0.284638 86.185 0.163 48.8295 1.59473
3557 9 4 0.384615 0.256015 86.185 0.163 48.6088 1.58771
3558 12 6 0.333333 0.222222 86.185 0.163 48.4073 1.58256
3559 4 4 0 0.353553 86.185 0.163 48.3663 1.58358
3560 6 5 0.0909091 0.300263 86.185 0.163 48.5116 1.5848
3561 6 4 0.2 0.309839 86.185 0.163 48.5436 1.58868
3562 8 5 0.230769 0.269864 86.185 0.163 48.9355 1.59383
3578 9 3 0.5 0.25 86.185 0.163 48.8751 1.60897
3579 11 9 0.1 0.222486 86.185 0.163 48.6939 1.60024
3580 8 10 -0.111111 0.234243 86.185 0.163 48.4948 1.59133
3581 4 7 -0.272727 0.290081 86.185 0.163 48.2859 1.58349
3582 2 1 0.333333 0.544331 86.185 0.163 48.6959 1.58729
